INT	STRING
国家ID(countryId)	国家名称(countryName)
1	阿富汗
2	阿尔巴尼亚
3	阿尔及利亚
4	安道尔
5	安哥拉
6	安奎拉
7	阿根廷
8	亚美尼亚
9	阿鲁巴岛
10	澳大利亚
11	奥地利
12	阿塞拜疆
13	巴哈马
14	巴林
15	孟加拉
16	巴巴多斯
17	白俄罗斯
18	比利时
19	伯利兹
20	贝宁
21	百慕大
22	不丹
23	玻利维亚
24	波黑
25	博茨瓦纳
26	巴西
27	维京群岛
28	文莱
29	保加利亚
30	布基纳法索
31	缅甸
32	布隆迪
33	柬埔寨
34	喀麦隆
35	加拿大
36	佛得角
37	中非
38	乍得
39	智利
40	哥伦比亚
41	科摩多
42	民主刚果
43	刚果
44	库克群岛
45	哥斯达黎加
46	科特迪瓦
47	克罗地亚
48	古巴
49	塞浦路斯
50	捷克
51	丹麦
52	吉布提
53	多美尼加
54	厄瓜多尔
55	埃及
56	萨尔瓦多
57	赤道几内亚
58	厄立特里亚
59	爱沙尼亚
60	埃塞俄比亚
61	福兰克群岛
62	法罗群岛
63	斐济
64	芬兰
65	法国
66	波利尼西亚
67	加蓬
68	甘比亚
69	格鲁吉亚
70	德国
71	加纳
72	直布罗陀
73	希腊
74	格陵兰
75	格林纳达
76	关岛
77	危地马拉
78	格恩西岛
79	几内亚
80	几内亚比绍
81	圭亚那
82	海地
83	洪都拉斯
84	匈牙利
85	冰岛
86	印度
87	印尼
88	伊朗
89	伊拉克
90	爱尔兰
91	以色列
92	意大利
93	牙买加
94	俄罗斯
95	约旦
96	哈萨克斯坦
97	肯尼亚
98	基里巴斯
99	朝鲜
100	韩国
101	科威特
102	吉尔吉斯坦
103	老挝
104	拉脱维亚
105	黎巴嫩
106	莱索托
107	利比里亚
108	利比亚
109	列支敦士登
110	立陶宛
111	卢森堡
112	马其顿
113	马达加斯加
114	马拉维
115	马来西亚
116	马尔代夫
117	马里
118	马耳他
119	马绍尔群岛
120	毛里塔尼亚
121	毛里求斯
122	马约特岛
123	墨西哥
124	摩尔多瓦
125	摩纳哥
126	蒙古
127	黑山
128	摩洛哥
129	莫桑比克
130	纳米比亚
131	瑙鲁
132	尼泊尔
133	安地列斯
134	荷兰
135	新西兰
136	尼加拉瓜
137	尼日尔
138	尼日利亚
139	诺福克岛
140	挪威
141	阿曼
142	巴基斯坦
143	帕劳
144	巴拿马
145	巴拉圭
146	秘鲁
147	波兰
148	葡萄牙
149	卡塔尔
150	罗马尼亚
151	俄罗斯
152	卢旺达
153	圣卢西亚
154	萨摩亚群岛
155	圣马力诺
156	沙特
157	塞内加尔
158	塞尔维亚
159	塞舌尔
160	塞拉利昂
161	新加坡
162	斯洛伐克
163	斯洛文尼亚
164	所罗门岛
165	索马里
166	南非
167	西班牙
168	苏丹
169	苏里南
170	斯威士兰
171	瑞典
172	瑞士
173	叙利亚
174	塔吉克斯坦
175	坦桑尼亚
176	泰国
177	多哥
178	汤加
179	突尼斯
180	土耳其
181	土库曼斯坦
182	图瓦卢
183	乌干达
184	乌克兰
185	阿联酋
186	英国
187	乌拉圭
188	瓦努阿图
189	委内瑞拉
190	越南
191	也门
192	赞比亚
193	津巴布韦
194	阿富汗
195	阿尔巴尼亚
196	阿尔及利亚
197	安道尔
198	安哥拉
199	安奎拉
200	阿根廷
201	亚美尼亚
202	阿鲁巴岛
203	澳大利亚
204	奥地利
205	阿塞拜疆
206	巴哈马
207	巴林
208	孟加拉
209	巴巴多斯
210	白俄罗斯
211	比利时
212	伯利兹
213	贝宁
214	百慕大
215	不丹
216	玻利维亚
217	波黑
218	博茨瓦纳
219	巴西
220	维京群岛
221	文莱
222	保加利亚
223	布基纳法索
224	缅甸
225	布隆迪
226	柬埔寨
227	喀麦隆
228	加拿大
229	佛得角
230	中非
231	乍得
232	智利
233	哥伦比亚
234	科摩多
235	民主刚果
236	刚果
237	库克群岛
