INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
ID	说明	开关	参数1	参数1说明	参数2	参数2说明	参数3	参数3说明	参数4	参数4说明	参数5	参数5说明	参数6	参数6说明	参数7	参数7说明	参数8	参数8说明	参数9	参数9说明	参数10	参数10说明
1	战斗力过滤	1	",431258,223389,223631,165771,384802,150340,96930,90161,401946,396950,350790,328287,187373,534997,472838,230695,104300,140634,217635"	各分区战斗力数值							10000	默认战斗力										
2	战斗外挂踢次数	1									3	超过3次踢										
3	金锤奖励时间	1	2013/4/24	开始时间DAY	0:00	开始时间H	2013/4/27	结束时间DAY	23:59:59	结束时间H												
4	月末回馈活动	1	2013/3/27	开始时间DAY	0:00	开始时间H	2013/3/30	结束时间DAY	23:59:59	结束时间H	50000	进入排行榜最小Q点										
5	解密数量设置	1									30	每个玩家收到不解密包上限	5000	服务器收到包刷新设置								
6	邀请好友礼物保留天数	1									3	天数										
7	分享游戏奖励	1									5	最大次数	30	奖励功勋								
8	召回好友奖励	1	2013/6/20	开始时间DAY	0:00	开始时间H	2013/6/30	结束时间DAY	23:59:59	结束时间H	30022	奖励物品ID	1	奖励数量	20	奖励额度	3	每日最大奖励数量				
9	幸运数字消耗、奖励	1									20059	奖励物品ID	1	奖励数量	150	CostCredit						
10	将领评分过滤	1	",7949,7327,7257,7016,6419,4859,4278,4109,6449,6418,5995,5902,5363,6849,6512,5275,4356,4615,5629,5218,5225"	各分区将领评分过滤数值							1000	默认评分										
11	出战将领总评分过滤	1	",31678,30867,30562,29251,22580,10207,6477,6150,23810,23532,21164,19452,30669,28004,25702,13316,6284,6835,12589,8166,9546"	各分区出战将领总评分过滤数值							2000	默认总评分										
12	幸运宝箱活动1	1	2013/3/13	开始时间DAY	0:00	开始时间H	2013/3/15	结束时间DAY	23:59:59	结束时间H	100	幸运用户概率	0	普通用户概率	1	每日用户抽奖次数						
13	幸运宝箱活动2	1	2013/3/16	开始时间DAY	0:00	开始时间H	2013/3/18	结束时间DAY	23:59:59	结束时间H	30	幸运用户概率	30	普通用户概率	1	每日用户抽奖次数						
14	爬塔设置	1									2	每天免费刷新次数	1	每天付费刷新次数	100	付费刷新价格	1	爬塔是否开启	1	战略兵营是否开启		
15	战略兵营人口设置	1									5	将领品质增加	6	默认数量	500	默认陆军人口	125	默认空军人口	15	将领带兵个数上限		
16	幸运数字	1	2013/3/31	开始时间DAY	0:00	开始时间H	2013/4/3	结束时间DAY	23:59:59	结束时间H	72	总期数	3600	时间间隔	1	排序数字	300	提前停止下注时间				
17	幸运魔盒	1	2016/6/27	开始时间DAY	0:00	开始时间H	2016/7/27	结束时间DAY	23:59:59	结束时间H	3888	消耗勋章	30	有效时间（天）	1000000	100W金属	1000000	100W石油	10014	高级经验书道具ID	5000	高级魔盒购买消耗
18	基地探宝	1									20	去好友家探宝次数	3	被好友探宝次数	28800	好友被探宝CD时间【秒】						
19	豪华黄钻	1									8	奖励资源百分比										
20	51连续登陆奖励	1									20050	物品ID	20051	物品ID	20032	物品ID	3	奖励所需天数				
21	（星星达人）每日充值活动	1		开始时间DAY		开始时间H		结束时间DAY		结束时间H	200	充值额度	1	奖励TOKEN	1000	充值额度	2	奖励TOKEN	5000	充值额度	3	奖励TOKEN
22	竞技场相关设置	1	",30,60,90,120,150,180,210,240,270,300,300,300,300,300,300,300,300,300,300,300"	购买所花勋章	0	竞技场开关[0活动看配表1一直有效-1关闭]	1	竞技场全部清除数据开关			0	竞技场进入玩家等级	15	竞技场进入PVE关卡数	10	每日免费次数	20	每日收费次数	5	挑战胜利积分	2	挑战失败积分
23	PVE排行版数据过滤	1	",59,57,56,53,36,17,15,15,40,40,36,33,20,53,46,23,15,15,21"	各分区将PVE排行版过滤数值							15	默认数值										
24	自动修复基地数量5秒	1									10	数量										
