INT	INT	INT	INT	INT	INT	INT	INT
id	sid	sku	type	energy	x	y	time
1	275	80027	12	0	31	-4	0
2	274	80028	12	0	28	-9	0
3	1	10001	5	4000	-5	-16	0
4	2	20001	0	750	11	0	696227
5	3	20001	0	750	2	-23	696227
6	279	80017	12	0	11	20	0
7	277	80025	12	0	-14	-38	0
8	280	80017	12	0	14	-35	0
9	287	80013	12	0	-23	-39	0
10	286	80035	12	0	19	-32	0
11	285	80038	12	0	17	-37	0
12	284	80027	12	0	-24	28	0
13	258	80023	12	0	-34	-31	0
14	259	80002	12	0	34	18	0
15	256	80031	12	0	-22	6	0
16	257	80025	12	0	-32	-26	0
17	263	80002	12	0	-31	-8	0
18	260	80004	12	0	-36	-15	0
19	266	80035	12	0	34	3	0
20	267	80038	12	0	-31	-1	0
21	264	80003	12	0	-30	-17	0
22	265	80035	12	0	32	6	0
23	270	80011	12	0	-23	-17	0
24	268	80036	12	0	-28	3	0
25	42	80026	12	0	-8	-24	0
26	43	80026	12	0	-19	-29	0
27	40	30001	7	8000	6	-15	694228
28	41	80026	12	0	-17	-21	0
29	46	80025	12	0	-15	-5	0
30	47	80025	12	0	-22	-23	0
31	61	80024	12	0	-6	-31	0
32	77	80023	12	0	6	-27	0
33	79	80023	12	0	-11	-22	0
34	75	80023	12	0	-15	-35	0
35	86	80001	12	0	-27	-38	0
36	81	80023	12	0	-17	-12	0
37	93	80023	12	0	-33	-37	0
38	89	80024	12	0	-30	-38	0
39	102	80034	12	0	2	31	0
40	103	80034	12	0	-24	35	0
41	100	80034	12	0	-15	24	0
42	101	80034	12	0	-6	17	0
43	111	80033	12	0	-20	30	0
44	108	80033	12	0	-21	17	0
45	104	80034	12	0	-26	20	0
46	118	80032	12	0	-17	33	0
47	117	80032	12	0	-5	31	0
48	114	80032	12	0	-23	12	0
49	113	80033	12	0	-34	36	0
50	112	80033	12	0	10	23	0
51	122	80032	12	0	-35	30	0
52	137	80031	12	0	-27	36	0
53	143	80031	12	0	11	27	0
54	129	80035	12	0	-15	21	0
55	131	80035	12	0	-27	8	0
56	145	80035	12	0	7	17	0
57	147	80031	12	0	14	11	0
58	150	80032	12	0	-2	15	0
59	184	80010	12	0	-25	-13	0
60	189	80013	12	0	-18	17	0
61	182	80010	12	0	28	26	0
62	183	80010	12	0	2	25	0
63	205	80030	12	0	12	29	0
64	207	80029	12	0	10	34	0
65	206	80030	12	0	-28	26	0
66	201	80003	12	0	20	7	0
67	203	80002	12	0	24	8	0
68	202	80003	12	0	30	15	0
69	199	80012	12	0	29	22	0
70	195	80012	12	0	-19	15	0
71	194	80012	12	0	-4	21	0
72	220	80037	12	0	-34	-19	0
73	221	80037	12	0	-10	-2	0
74	222	80037	12	0	29	1	0
75	223	80037	12	0	15	-32	0
76	216	80027	12	0	24	29	0
77	218	80027	12	0	-33	-2	0
78	219	80037	12	0	-27	-2	0
79	212	80028	12	0	-31	32	0
80	215	80027	12	0	18	33	0
81	209	80029	12	0	-26	32	0
82	211	80028	12	0	16	29	0
83	238	80016	12	0	33	-8	0
84	236	80016	12	0	6	36	0
85	234	80016	12	0	-32	4	0
86	232	80017	12	0	-35	4	0
87	229	80017	12	0	33	-11	0
88	228	80004	12	0	27	-36	0
89	227	80036	12	0	-10	-37	0
90	226	80036	12	0	18	11	0
91	254	80023	12	0	-22	2	0
92	252	80002	12	0	32	-38	0
93	253	80024	12	0	-18	-1	0
94	250	80014	12	0	-36	11	0
95	249	80014	12	0	-15	37	0
96	246	80014	12	0	9	-32	0
97	244	80015	12	0	-33	-5	0
98	242	80015	12	0	-15	36	0
99	240	80015	12	0	34	-2	0
100	241	80015	12	0	29	36	0
