INT	STRING	STRING	INT	STRING	INT	INT	
id	sku	name	price_pc	givenCondition	timeToGive	maxAmountInventory	
1	1	mistery gift	2	rewardSequence:1:1:2:1:2:2:2:1:2:1:2:1	0	10	
2	6	defense:trap	0		0	0	
3	7	defense:trap	0		0	0	
4	8	unit:starlinator	0		0	0	
5	9	unit:colossus	0		0	0	
6	10	unit:zeppelin	0		0	0	
7	1000	keyjail	5	skumission:mission_007	0	0	
8	25	blue_light_battery	20	listSequence:500:3:21:34:48:62:76:98:112:121:130:154:168:182:206:218:231:247:259:274:293:310:322:334:359:362:389:394:415:422:446:457:478:482:498	43200	0	
9	26	blue_light_fuel	80	listSequence:100:3:6:9:12:17:20:22:24:35:37:40:46:49:53:55:61:64:69:76:77:80:86:89:93:98	0	0	
10	30	droidPart1	20	listSequence:300:2:31:82:169:294	129600	0	
15	31	droidPart2	40	listSequence:100:1:27:35:76:91	86400	0	
14	32	droidPart3	80	listSequence:100:1:5:13:16:19:23:26:29:33:36:40:43:47:55:58:61:64:69:73:78:81:85:88:93:97	0	0	
13	33	worker:freeWorker	0		0	0	
12	40	item:alliance1	0		0	0	
11	41	item:alliance2	0		0	0	
16	42	item:alliance3	0		0	0	
17	100	skull	5	listSequence:100:2:4:6:12:15:17:22:28:30:33:38:42:45:48:52:55:58:64:65:69:71:75:78:79:81:85:89:92:96:97	360	0	
18	101	bones	5	listSequence:100:7:10:17:24:35:41:57:62:64:78:79:86:89:93:98	0	0	
19	102	eggs	5	listSequence:300:8:42:87:168:287	0	0	
20	103	incubator	5	listSequence:300:8:42:87:168:287	0	0	
21	104	ambar_moskito	5	listSequence:300:3:21:84:159:261	0	0	
22	105	golden_skull	5	listSequence:100:10:23:29:37:41:46:57:64:72:91	0	0	
23	106	golden_idol	5	listSequence:300:3:21:84:159:261	0	0	
24	107	golden_imperdible	5	listSequence:300:12:48:97:171:299	0	0	
25	108	lingote	5	listSequence:300:8:42:87:168:287	0	0	
26	109	ring	5	listSequence:100:3:9:13:22:27:34:38:45:53:58:61:64:70:74:81:87:90:92:95:99	360	0	
27	110	stone_skull	5	listSequence:100:2:5:12:24:26:33:36:47:54:59:63:67:72:78:83:89:91:94:96:99	360	0	
28	111	mineral_skull	5	listSequence:100:6:15:22:31:43:55:61:72:88:93	0	0	
29	112	silver_skull	5	listSequence:100:1:5:9:18:29:33:45:60:69:75:81:84:88:94:99	0	0	
30	113	silver_idol	5	listSequence:100:1:4:7:9:12:18:23:28:34:41:57:62:69:75:77:81:90:94:96:99	360	0	
31	114	stone_idol	5	listSequence:50:1:4:5:8:13:16:20:24:25:29:31:34:36:37:41:43:44:46:48:49	0	0	
32	115	wood_idol	5	listSequence:100:1:5:11:24:29:33:36:43:50:57:63:66:72:75:83:86:92:94:96:98	360	0	
33	116	mineral_idol	5	listSequence:300:2:31:82:169:294	0	0	
34	117	mineral_eye	5	listSequence:100:1:5:11:24:29:33:36:43:50:57:63:66:72:75:83:86:92:94:96:98	0	0	
35	118	mineral_teeth	5	listSequence:300:12:48:97:171:299	0	0	
36	119	mineral_weap	5	listSequence:500:38:72:153:276:385	0	0	
37	150	trap_housing	5	listSequence:300:2:31:82:169:294	129600	0	
38	151	trap_trigger	5	listSequence:300:3:21:84:159:261	129600	0	
39	152	trap_structure	5	listSequence:100:2:5:9:11:15:18:21:26:29:31:34:39:42:45:47:52:57:60:62:66:69:72:74:79:82:84:86:91:95:99	360	0	
40	153	trap_explosives	5	listSequence:100:6:11:16:23:38:44:56:60:65:72:77:83:89:91:96	720	0	
41	154	sensor	5	listSequence:100:3:9:13:22:27:34:38:45:53:58:61:64:70:74:81:87:90:92:95:99	720	0	
42	155	flytrap_housing	5	listSequence:300:12:48:97:171:299	129600	0	
43	156	flytrap_propellant	5	listSequence:300:8:42:87:168:287	129600	0	
44	157	flytrap_cannons	5	listSequence:100:2:4:8:13:16:19:23:26:28:32:36:39:43:46:49:51:56:60:63:65:68:73:75:79:81:85:88:91:93:98	360	0	
45	158	flytrap_explosives	5	listSequence:100:1:4:8:27:35:42:58:62:67:74:78:81:85:93:98	720	0	
46	159	gun	5	listSequence:300:6:41:75:152:278	129600	0	
47	160	helmet_housing	5	listSequence:500:38:72:153:276:385	0	0	
48	161	eyepart	5	listSequence:100:2:4:7:13:16:18:24:27:29:32:35:40:43:46:49:54:57:61:65:67:69:71:76:79:81:88:90:93:95:97	360	0	
49	162	booster	5	listSequence:100:7:10:17:24:35:41:57:62:64:78:79:86:89:93:98	720	0	
50	163	ammunition	5	listSequence:100:2:5:12:24:26:33:36:47:54:59:63:67:72:78:83:89:91:94:96:99	720	0	
51	164	tank_cannon	5	listSequence:300:12:46:93:147:295	129600	0	
52	165	tank_housing	5	listSequence:500:35:80:140:285:375	0	0	
53	166	missile_launcher	5	listSequence:100:2:4:6:12:15:17:22:28:30:33:38:42:45:48:52:55:58:64:65:69:71:75:78:79:81:85:89:92:96:97	360	0	
54	167	missile	5	listSequence:100:1:5:9:18:29:33:45:60:69:75:81:84:88:94:99	720	0	
55	168	propeller	5	listSequence:300:10:53:101:172:276	129600	0	
