INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT
流水(ID)	战役ID(battleID)	关卡类型(levelType) 1战斗关卡 2场景关卡 3资源关卡 4决战关卡 	解锁关卡(requireLevelID)	开始日期(startDate)	开始时间(startTime)	结束日期(endDate)	结束时间(endTime)	奖励ID(rewardId)	CD时间(CD)	刷新时间(refreshTime)	特殊奖励ID(specID)	特殊奖励概率百分比(specChance)	NPCid(NPCid)	PVE关卡ID(PveID)	场景关卡类型(maplevelType)1、修理大桥 2、雷区扫雷 3、轰炸机场 4、搜索仓库	图标(icon)	操作次数(lootTimes)	战役名称(battleName)	关卡名称(levelName)	消耗金属(metal)	消耗石油(oil)	等待时间(waitTime)	消耗勋章(credit)	npc显示等级(npcLevel)	npc名称(npcName)	将领经验(generalExp)	评分时间(evaluationTime)	损失人口(evaluationPop)	PVE评分(evaluationHp) evaluationHp	行军令奖励(apReward)	场景关卡消耗勋章减少量(minusCredit)
1001	1	1						20201					5002			1_s.jpg		波兰闪击战	战略点1					5	守备军		180	0		0	
1002	1	1	1001					20202					5003			2_s.jpg		波兰闪击战	战略点2					5	守备军		180			0	
1003	1	1	1002					20203					5004			3_s.jpg		波兰闪击战	战略点3					6	守备军		180	0		0	
1004	1	1	1003					20204					5005			4_s.jpg		波兰闪击战	战略点4					6	守备军		180	0		0	
1005	1	1	1004					20205					5001			5_s.jpg		波兰闪击战	战略点5					6	守备军		180	0		0	
1006	1	1	1005					20206					5006			6_s.jpg		波兰闪击战	战略点6					7	守备军		180	0		0	
1007	1	2	1006					20201							1			波兰闪击战	破碎的大桥	10000		28800	200	7						2	12
1008	1	1	1007					20207					5101			1_s.jpg		波兰闪击战	战略点7					7	守备军		180	0		0	
1009	1	3	1007					20297										波兰闪击战	战利品					7						0	
1010	2	1						20208					5103			2_s.jpg		敦刻尔克战役	战略点1					8	守备军		180	0		0	
1011	2	1	1010					20209					5104			3_s.jpg		敦刻尔克战役	战略点2					8	守备军		180	0		0	
1012	2	1	1011					20210					5105			4_s.jpg		敦刻尔克战役	战略点3					8	守备军		180	0		0	
1013	2	1	1012					20211					5102			5_s.jpg		敦刻尔克战役	战略点4					9	守备军		180	0		0	
1014	2	2	1013					20315							2			敦刻尔克战役	清理雷区			28800	200	9						0	12
1015	2	1	1014					20212					5106			6_s.jpg		敦刻尔克战役	战略点5					9	守备军		180	0		0	
1016	2	3	1014					20298										敦刻尔克战役	战利品					10						0	
1017	2	1	1015					20213					5107			1_s.jpg		敦刻尔克战役	战略点6					10	守备军		180	0		0	
1018	2	1	1017					20214					5108			2_s.jpg		敦刻尔克战役	战略点7					10	守备军		180	0		0	
1019	2	4	1018					20215			20296	15		31001		1_s.jpg		敦刻尔克战役	战略点8					10	守备军	20	180	0	"80,50,0"	0	
1020	3	1						20216					5110			3_s.jpg		偷袭珍珠港	战略点1					11	守备军	25	180	0		0	
1021	3	1	1020					20217					5111			4_s.jpg		偷袭珍珠港	战略点2					11	守备军	30	180	0		0	
1022	3	4	1021					20218			20296	15		31002		2_s.jpg		偷袭珍珠港	战略点3					11	守备军	35	180	0	"80,50,0"	0	
1023	3	1	1022					20219					5113			5_s.jpg		偷袭珍珠港	战略点4					12	守备军	40	180	0		0	
1024	3	2	1023												1			偷袭珍珠港	破碎的大桥	10000		28800	200	12						2	12
