INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	npcId	sid	sku	type	upgradeId	isFlipped	energy	x	y	state	time
427	npc_B0	40	30001	7	0	0	8000	5	-8	1	1798001
428	npc_B0	198	40001	6	0	0	6000	1	0	1	30000
429	npc_B0	368	30002	3	0	0	4000	-7	0	1	14923
430	npc_B0	1	10001	5	0	1	4000	-5	-10	1	0
431	npc_B0	367	60003	4	0	0	0	24	-29	1	9000
588	npc_B1	40	30001	7	0	0	8000	5	-8	1	1798001
589	npc_B1	198	40001	6	1	0	12000	1	0	1	899293
590	npc_B1	368	30002	3	0	0	4000	-7	0	1	14923
591	npc_B1	1	10001	5	2	1	20000	-5	-10	1	598374
726	npc_B1	367	60003	4	0	0	0	24	-29	1	9000
727	npc_B1	369	60008	4	0	0	0	-12	-12	1	9000
728	npc_B1	370	60008	4	0	0	0	-12	-8	1	9000
729	npc_B1	371	60008	4	0	0	0	-12	-4	1	9000
730	npc_B1	372	60008	4	0	0	0	-12	-16	1	9000
731	npc_B1	373	20001	0	0	0	750	1	11	1	0
732	npc_B1	374	20001	0	0	0	750	1	5	1	0
733	npc_B1	375	20002	1	0	0	750	7	11	1	0
734	npc_B1	376	20002	1	0	0	750	7	5	1	0
735	npc_B1	377	50001	6	0	0	1000	17	3	1	0
736	npc_B1	378	50001	6	0	0	1000	17	2	1	0
737	npc_B1	379	50001	6	0	0	1000	17	1	1	0
738	npc_B1	380	50001	6	0	0	1000	17	0	1	0
739	npc_B1	381	50001	6	0	0	1000	17	-1	1	0
740	npc_B1	382	50001	6	0	0	1000	17	-2	1	0
741	npc_B1	383	50001	6	0	0	1000	17	-3	1	0
742	npc_B1	384	40002	6	1	0	12000	-1	-14	1	863174
743	npc_B1	385	20003	2	1	0	1400	-8	13	1	899051
744	npc_B1	386	50001	6	0	0	1000	17	4	1	0
745	npc_B1	387	50001	6	0	0	1000	17	5	1	3000
746	npc_B1	388	50001	6	0	0	1000	17	6	1	2060
747	npc_B1	389	50001	6	0	0	1000	17	7	1	0
748	npc_B1	390	50001	6	0	0	1000	17	8	1	2909
749	npc_B1	391	50001	6	0	0	1000	17	9	1	0
750	npc_B1	392	50001	6	0	0	1000	17	10	1	3000
751	npc_B1	393	50001	6	0	0	1000	17	11	1	1870
752	npc_B1	394	50001	6	0	0	1000	17	12	1	0
753	npc_B1	395	40002	6	1	0	12000	13	4	1	878880
754	npc_B1	396	50001	6	0	0	1000	17	13	1	0
755	npc_B1	397	50001	6	0	0	1000	17	14	1	0
756	npc_B1	398	50001	6	0	0	1000	17	16	1	0
757	npc_B1	399	50001	6	0	0	1000	17	15	1	0
758	npc_B1	400	50001	6	0	0	1000	-8	21	1	0
759	npc_B1	401	50001	6	0	0	1000	-6	21	1	0
760	npc_B1	402	50001	6	0	0	1000	-7	21	1	0
761	npc_B1	403	50001	6	0	0	1000	-5	21	1	0
762	npc_B1	404	50001	6	0	0	1000	-4	21	1	0
763	npc_B1	405	50001	6	0	0	1000	-9	21	1	0
764	npc_B1	406	50001	6	0	0	1000	-3	21	1	0
765	npc_B1	407	50001	6	0	0	1000	-2	21	1	0
766	npc_B1	408	50001	6	0	0	1000	0	21	1	0
767	npc_B1	409	50001	6	0	0	1000	-1	21	1	0
768	npc_B1	410	50001	6	0	0	1000	1	21	1	0
769	npc_B1	411	50001	6	0	0	1000	2	21	1	1406
770	npc_B1	412	50001	6	0	0	1000	3	21	1	0
771	npc_B1	413	50001	6	0	0	1000	12	19	1	0
772	npc_B1	417	50001	6	0	0	1000	3	20	1	0
773	npc_B1	418	50001	6	0	0	1000	12	18	1	0
774	npc_B1	419	50001	6	0	0	1000	12	20	1	0
775	npc_B1	420	50001	6	0	0	1000	17	17	1	704
776	npc_B1	421	50001	6	0	0	1000	17	18	1	0
777	npc_B1	422	50001	6	0	0	1000	3	19	1	0
778	npc_B1	423	50001	6	0	0	1000	12	21	1	0
779	npc_B1	424	50001	6	0	0	1000	13	21	1	0
780	npc_B1	425	50001	6	0	0	1000	14	21	1	0
781	npc_B1	426	50001	6	0	0	1000	15	21	1	0
782	npc_B1	427	50001	6	0	0	1000	16	21	1	0
783	npc_B1	428	50001	6	0	0	1000	17	19	1	0
784	npc_B1	429	50001	6	0	0	1000	-13	7	1	0
785	npc_B1	430	50001	6	0	0	1000	-13	6	1	0
786	npc_B1	431	50001	6	0	0	1000	17	21	1	0
787	npc_B1	432	50001	6	0	0	1000	-13	5	1	0
788	npc_B1	433	50001	6	0	0	1000	-13	9	1	0
789	npc_B1	434	50001	6	0	0	1000	-13	8	1	0
790	npc_B1	435	50001	6	0	0	1000	-13	10	1	0
791	npc_B1	436	50001	6	0	0	1000	-13	12	1	0
792	npc_B1	437	50001	6	0	0	1000	-13	11	1	0
793	npc_B1	438	50001	6	0	0	1000	-13	13	1	0
794	npc_B1	439	50001	6	0	0	1000	-13	14	1	0
795	npc_B1	440	50001	6	0	0	1000	-13	15	1	0
796	npc_B1	441	50001	6	0	0	1000	-13	16	1	0
797	npc_B1	442	50001	6	0	0	1000	-13	17	1	0
798	npc_B1	443	50001	6	0	0	1000	-12	21	1	0
799	npc_B1	444	50001	6	0	0	1000	-13	21	1	0
800	npc_B1	445	50001	6	0	0	1000	-11	21	1	0
801	npc_B1	446	50001	6	0	0	1000	-10	21	1	0
802	npc_B1	447	50001	6	0	0	1000	-13	18	1	0
803	npc_B1	448	50001	6	0	0	1000	17	20	1	0
804	npc_B1	449	50001	6	0	0	1000	-13	20	1	0
