INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	sku	level	energy	energyProgressBar	maxNumPerHQLevel	constructionCoins	constructionMineral	constructionTime	scoreBuilt	scoreAttack	repairTime	incomePerMinute	incomePerMinuteProgressBar	incomeCapacity	incomeTime
1	rc_001_001	1	750	18	"4,6,8,10,12,12,12,12"	360	0	22	1	1	45	6	12	360	60
2	rc_001_001	2	1500	32	1	760	0	450	4	1	90	11	21	990	90
3	rc_001_001	3	2400	40	1	1580	0	1800	9	1	144	20	27	2700	135
4	rc_001_001	4	6000	70	2	3340	0	5400	22	1	360	31	42	6510	210
5	rc_001_001	5	12000	100	2	6980	0	10800	44	2	720	46	54	13800	300
6	rc_001_001	6	24000	160	3	14700	0	27000	103	5	1346	62	78	27900	450
7	rc_001_001	7	45000	260	3	30900	0	64800	236	9	1849	81	102	55890	690
8	rc_001_001	8	65000	280	4	64880	0	129600	479	18	2144	103	120	105060	1020
9	rc_001_001	9	105000	400	4	136280	0	259200	974	36	2529	128	144	197760	1545
10	rc_001_001	10	165000	440	5	287560	0	388800	1676	75	2890	156	180	360360	2310
11	rm_001_001	1	750	18	"4,6,8,10,12,12,12,12"	120	0	7	1	1	45	6	12	360	60
12	rm_001_001	2	1500	32	1	240	0	150	1	1	90	11	21	990	90
13	rm_001_001	3	2400	40	1	520	0	600	3	1	144	20	27	2700	135
14	rm_001_001	4	6000	70	2	1080	0	1800	8	1	360	31	42	6510	210
15	rm_001_001	5	12000	100	2	2260	0	3600	15	1	720	46	54	13800	300
16	rm_001_001	6	24000	160	3	4740	0	9000	34	2	1346	62	78	27900	450
17	rm_001_001	7	45000	260	3	9980	0	21600	78	4	1849	81	102	55890	690
18	rm_001_001	8	65000	280	4	20940	0	43200	158	6	2144	103	120	105060	1020
19	rm_001_001	9	105000	400	4	43960	0	86400	321	12	2529	128	144	197760	1545
20	rm_001_001	10	165000	440	5	92340	0	129600	550	25	2890	156	180	360360	2310
