INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING
id	sku	level	energy	energyProgressBar	maxNumPerHQLevel	constructionCoins	constructionMineral	constructionTime	scoreBuilt	scoreAttack	repairTime	slotCapacity	slotCapacityProgressBar
1	rs_001_001	1	750	20	"1,2,3,4,5,5,5,5"	760	0	600	4	1	45	7000	20
2	rs_001_001	2	1400	28	1	1720	0	900	7	1	84	14000	30
3	rs_001_001	3	2550	39	2	3460	0	1350	13	1	153	28000	42
4	rs_001_001	4	4750	55	2	6900	0	2025	23	2	285	56000	58
5	rs_001_001	5	8800	79	3	13800	0	3037	43	4	528	112000	82
6	rs_001_001	6	16250	112	3	27600	0	4555	83	8	975	223000	115
7	rs_001_001	7	30000	159	4	55220	0	6834	159	15	1525	446000	161
8	rs_001_001	8	55600	226	4	110440	0	10251	310	29	2019	893000	225
9	rs_001_001	9	105000	321	5	220880	0	15376	607	58	2529	1786000	316
10	rs_001_001	10	190000	456	5	441760	0	23065	1196	115	3004	3571000	442
11	rs_002_001	1	750	20	"1,2,3,4,5,5,5,5"	760	0	600	4	1	45	7000	20
12	rs_002_001	2	1400	28	1	1720	0	900	7	1	84	14000	30
13	rs_002_001	3	2550	39	2	3460	0	1350	13	1	153	28000	42
14	rs_002_001	4	4750	55	2	6900	0	2025	23	2	285	56000	58
15	rs_002_001	5	8800	79	3	13800	0	3037	43	4	528	112000	82
16	rs_002_001	6	16250	112	3	27600	0	4555	83	8	975	223000	115
17	rs_002_001	7	30000	159	4	55220	0	6834	159	15	1525	446000	161
18	rs_002_001	8	55600	226	4	110440	0	10251	310	29	2019	893000	225
19	rs_002_001	9	105000	321	5	220880	0	15376	607	58	2529	1786000	316
20	rs_002_001	10	190000	456	5	441760	0	23065	1196	115	3004	3571000	442
