INT	STRING	INT
id	sku	skuId
1	wonders_headquarters	10001
2	rc_001_001	20001
3	rm_001_001	20002
4	rs_002_001	20003
5	rs_001_001	20004
6	labs_observatory	20005
7	hangar_001_001	30001
8	barracks_001_001	30002
9	mechas_001_001	30003
10	shipyards_001_001	30004
11	labs_001_001	30005
12	labs_002_001	30006
13	df_001_004	40001
14	df_001_001	40002
15	df_001_005	40003
16	df_001_003	40004
17	df_001_007	40005
18	df_001_010	40006
19	df_001_002	50001
20	df_001_006	50002
21	bunker_001_002	50003
22	bunker_001_001	50004
23	df_001_008	50005
24	df_001_009	50006
25	d_001_013	60001
26	d_001_014	60002
27	d_001_012	60003
28	d_001_011	60004
29	d_001_001	60005
30	d_001_002	60006
31	d_001_016	60007
32	d_001_010	60008
33	groundUnits_001_001	70001
34	groundUnits_001_002	70002
35	groundUnits_001_003	70003
36	groundUnits_001_005	70004
37	groundUnits_001_004	70005
38	groundUnits_001_006	70006
39	mecaUnits_001_000	70007
40	mecaUnits_002_000	70008
41	mecaUnits_003_000	70009
42	mecaUnits_004_000	70010
43	warSmallShips_001_002	70011
44	warSmallShips_001_003	70012
45	warSmallShips_001_001	70013
46	warSmallShips_001_004	70014
47	mecaUnits_005_000	70015
48	o_001_001	80001
49	o_001_002	80002
50	o_001_003	80003
51	o_001_004	80004
52	o_001_005	80005
53	o_001_006	80006
54	o_001_007	80007
55	o_001_008	80008
56	o_001_009	80009
57	o_001_010	80010
58	o_001_011	80011
59	o_001_012	80012
60	o_001_013	80013
61	o_001_014	80014
62	o_001_015	80015
63	o_001_016	80016
64	o_001_017	80017
65	o_001_018	80018
66	o_001_019	80019
67	o_001_020	80020
68	o_001_021	80021
69	o_001_022	80022
70	o_001_023	80023
71	o_001_024	80024
72	o_001_025	80025
73	o_001_026	80026
74	o_001_027	80027
75	o_001_028	80028
76	o_001_029	80029
77	o_001_030	80030
78	o_001_031	80031
79	o_001_032	80032
80	o_001_033	80033
81	o_001_034	80034
82	o_001_035	80035
83	o_001_036	80036
84	o_001_037	80037
85	o_001_038	80038
86	o_001_039	80039
87	o_001_040	80040
88	o_001_041	80041
89	o_001_043	80042
90	o_001_044	80043
91	o_001_045	80044
92	o_001_047	80045
93	o_001_048	80046
94	o_001_049	80047
95	o_001_051	80048
96	o_001_052	80049
97	o_001_053	80050
98	o_001_054	80051
99	o_001_055	80052
100	o_001_056	80053
101	o_001_057	80054
102	o_001_058	80055
103	o_001_059	80056
104	o_001_060	80057
105	o_001_061	80058
106	o_001_062	80059
107	o_001_063	80060
108	o_001_064	80061
109	o_001_065	80062
110	o_001_066	80063
111	o_001_067	80064
112	o_001_068	80065
113	o_001_069	80066
114	o_001_070	80067
115	o_001_071	80068
116	o_001_072	80069
117	o_001_073	80070
118	o_001_074	80071
119	o_001_075	80072
120	o_001_076	80073
121	o_001_077	80074
122	o_001_078	80075
123	o_001_079	80076
124	o_001_080	80077
125	o_001_081	80078
126	o_001_082	80079
127	o_001_083	80080
128	o_001_084	80081
129	o_001_085	80082
130	o_001_086	80083
131	o_001_087	80084
132	o_001_088	80085
133	o_001_090	80087
134	o_001_091	80088
135	o_001_092	80089
136	o_001_093	80090
137	o_001_094	80091
138	o_001_095	80092
139	o_001_096	80093
140	o_001_097	80094
141	o_001_098	80095
142	o_001_099	80096
143	o_001_100	80097
144	o_001_101	80098
145	o_001_102	80099
146	o_001_103	80100
147	o_001_104	80101
148	o_001_105	80102
149	o_001_106	80103
150	o_001_107	80104
151	o_001_108	80105
152	o_001_109	80106
153	o_001_110	80107
154	o_001_111	80108
155	o_001_112	80109
156	o_001_113	80110
157	o_001_114	80111
158	o_001_115	80112
159	o_001_116	80113
160	o_001_117	80114
161	o_001_118	80115
162	o_001_119	80116
163	o_001_120	80117
164	o_001_121	80118
165	o_001_122	80119
166	o_001_123	80120
167	o_001_124	80121
168	o_001_125	80122
169	o_001_126	80123
170	o_001_127	80124
171	o_001_128	80125
172	o_001_129	80126
173	o_001_130	80127
174	o_001_131	80128
175	o_001_132	80129
176	o_001_133	80130
177	o_001_134	80131
178	o_001_135	80132
179	o_001_136	80133
180	o_001_137	80134
181	o_001_138	80135
182	o_001_139	80136
183	o_001_140	80137
184	o_001_141	80138
185	o_001_142	80139
186	o_001_143	80140
187	o_001_144	80141
188	o_001_145	80142
189	o_001_146	80143
190	o_001_147	80144
191	o_001_148	80145
192	o_001_149	80146
193	o_001_150	80147
194	o_001_151	80148
195	o_001_152	80149
196	o_001_153	80150
197	o_001_154	80151
198	o_001_155	80152
199	o_001_156	80153
200	o_001_157	80154
201	o_001_158	80155
202	o_001_159	80156
203	o_001_160	80157
204	finished	90001
205	npc_A	1
206	npc_B	2
207	npc_C	3
208	npc_D	4
209	specialAttack_1	7000
210	specialAttack_2	7001
211	specialAttack_3	7002
212	specialAttack_10	7200
213	pumpkin	4001
